"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1552319","occ","","","94032","Cyzicus pricei","species","57396","species not entered","Cyzicus","genus","57396","Late Jurassic","","163.5","145","75991"
"1555492","occ","","","219459","Euestheria minuta","species","399421","","Euestheria minuta","species","399421","Rhaetian","","208.5","201.3","76353"
"1573473","occ","","","222373","Spinicaudata indet.","suborder","57393","","Spinicaudata","suborder","57393","Late Valanginian","","140.2","136.4","78161"
"1582123","occ","","","48424","Cyzicus sp.","genus","57396","","Cyzicus","genus","57396","Norian","","228","208.5","78626"
"1585192","occ","","","224018","Menucoestheria terneraensis","species","282430","","Menucoestheria terneraensis","species","282430","Late Triassic","","237","201.3","78983"
"1585193","occ","","","224019","Liograpta troncosoi","species","282434","recombined as","Polygrapta troncosoi","species","282434","Early Triassic","","252.17","247.2","78983"
"1585194","occ","","","224020","Menucoestheria terneraensis","species","282430","","Menucoestheria terneraensis","species","282430","Early Triassic","","252.17","247.2","78983"
"1586006","occ","","","69890","cf. Lioestheria sp.","genus","222093","","Lioestheria","genus","179624","Kimmeridgian","","157.3","152.1","48382"
"1586085","occ","","","105836","Cyzicus sp.","genus","57396","","Cyzicus","genus","57396","Norian","","228","208.5","79067"
"1611304","occ","","","24499","Cyzicus sp.","genus","57396","","Cyzicus","genus","57396","Carnian","","237","228","83012"
"1611313","occ","","","227823","Cyzicus sp.","genus","57396","","Cyzicus","genus","57396","Norian","","228","208.5","83013"
"1611314","occ","","","227823","Palaeolimnadia ? sp.","genus","399423","","Palaeolimnadia","genus","399423","Norian","","228","208.5","83013"
"1611334","occ","","","227825","Palaeolimnadia ? sp.","genus","399423","","Palaeolimnadia","genus","399423","Carnian","","237","228","83017"
"1611338","occ","","","227825","Cyzicus sp.","genus","57396","","Cyzicus","genus","57396","Carnian","","237","228","83017"
