"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1543876","occ","","","49636","Diplostraca indet.","infraclass","133222","","Diplostraca","infraclass","133222","Kimmeridgian","Tithonian","157.3","145","75375"
"1547212","occ","","","218214","Conchostraca indet.","unranked clade","222095","invalid subgroup of","Diplostraca","infraclass","133222","Rhaetian","","208.5","201.3","75695"
"1564204","occ","","","220872","Estheria sp.","genus","133416","","Estheria","genus","133416","Artinskian","","290.1","279.3","77200"
"1585181","occ","","","29509","Estheria sp.","genus","133416","","Estheria","genus","133416","Late Triassic","","237","201.3","8014"
"1600430","occ","","","154038","Estheria minuta","species","392423","","Estheria minuta","species","392422","Aegean","","247.2","242","81996"
"1611330","occ","","","227824","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Carnian","","237","228","83016"
"1611394","occ","","","227832","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Norian","","228","208.5","83025"
"1630858","occ","","","77191","Phyllopoda indet.","subclass","133204","","Phyllopoda","subclass","133204","Late Aptian","Early Albian","122.46","109","33967"
"1639117","occ","","","232324","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Hettangian","Sinemurian","201.3","190.8","25375"
"1643383","occ","","","232994","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Asselian","","298.9","295.5","87150"
"1643384","occ","","","232995","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Asselian","","298.9","295.5","87150"
"1644113","occ","","","233077","Leaia baentschi","species","237051","species not entered","Leaia","genus","237051","Kasimovian","","307","303.7","87189"
"1644118","occ","","","233078","Estheria limbata","species","237036","","Estheria limbata","species","237036","Kasimovian","","307","303.7","87189"
